krzyzowanie,mutacja,osobniki,pokolenia,skalowanie,elitaryzm,najlepszy,najgorszy,średni
0.5,0.07,250,9000,0,1,18.4,31.168,24.146388
0.5,0.07,250,36000,0,1,18.4,28.268,24.950153
0.5,0.3,50,600,0,1,18.968,28.476,23.917778
0.5,0.3,50,3000,0,1,18.4,27.852,23.798133
0.5,0.3,50,9000,0,1,18.4,29.436,24.041422
0.5,0.3,50,36000,0,1,18.4,28.764,23.602711
0.5,0.3,100,600,0,1,18.96,28.608,23.302489
0.5,0.3,100,3000,0,1,18.96,29.164,22.9692
0.5,0.3,100,9000,0,1,18.72,27.016,22.863667
0.5,0.3,100,36000,0,1,18.72,29.804,23.269556
0.5,0.3,250,600,0,1,18.96,28.848,23.884009
0.5,0.3,250,3000,0,1,18.72,27.68,23.092791
0.5,0.3,250,9000,0,1,18.72,26.264,23.150267
0.5,0.3,250,36000,0,1,18.096,28.516,22.939644
0.7,0.07,50,600,0,1,18.6,25.584,24.490897
0.7,0.07,50,3000,0,1,19.304,29.572,24.435402
0.7,0.07,50,9000,0,1,19.304,24.636,23.108368
0.7,0.07,50,36000,0,1,19.304,27.324,23.61646
0.7,0.07,100,600,0,1,19.488,30.172,25.193364
0.7,0.07,100,3000,0,1,18.824,30.516,24.859795
0.7,0.07,100,9000,0,1,18.84,27.74,23.273864
0.7,0.07,100,36000,0,1,18.84,29.748,25.799477
0.7,0.07,250,600,0,1,18.488,27.908,25.492236
0.7,0.07,250,3000,0,1,18.488,28.356,23.627011
0.7,0.07,250,9000,0,1,18.12,29.264,23.25942
0.7,0.07,250,36000,0,1,18.808,30.824,24.423274
0.7,0.3,50,600,0,1,18.84,28.956,24.27398
0.7,0.3,50,3000,0,1,18.96,24.476,24.576323
0.7,0.3,50,9000,0,1,18.72,28.616,23.140646
0.7,0.3,50,36000,0,1,19.2,27.74,23.458667
0.7,0.3,100,600,0,1,18.84,28.444,24.06392
0.7,0.3,100,3000,0,1,18.96,29.096,24.036744
0.7,0.3,100,9000,0,1,18.96,26.82,23.032925
0.7,0.3,100,36000,0,1,18.096,29.008,24.308864
0.7,0.3,250,600,0,1,18.4,27.336,24.969363
0.7,0.3,250,3000,0,1,18.4,26.456,24.888577
0.7,0.3,250,9000,0,1,18.4,30.404,25.599158
0.7,0.3,250,36000,0,1,18.4,30.636,24.12816
0.3,0.07,50,600,1,1,19.168,22.18,19.827353
0.3,0.07,50,3000,1,1,18.96,22.644,19.900412
0.3,0.07,50,9000,1,1,18.96,22.644,19.838588
0.3,0.07,50,36000,1,1,18.72,20.336,19.578588
0.3,0.07,100,600,1,1,18.96,24.56,20.481985
0.3,0.07,100,3000,1,1,18.328,23.748,20.749372
0.3,0.07,100,9000,1,1,18.328,19.848,19.216175
0.3,0.07,100,36000,1,1,18.328,20.144,19.31565
0.3,0.07,250,600,1,1,18.96,24.216,21.221509
0.3,0.07,250,3000,1,1,18.72,23.476,19.853439
0.3,0.07,250,9000,1,1,18.72,25.028,21.023591
0.3,0.07,250,36000,1,1,18.096,24.776,19.641813
0.3,0.3,50,600,1,1,19.32,25.864,21.4929
0.3,0.3,50,3000,1,1,19.32,25.088,20.258
0.3,0.3,50,9000,1,1,19.32,28.06,21.04025
0.3,0.3,50,36000,1,1,19.2,28.2,20.54575
0.3,0.3,100,600,1,1,18.96,24.248,20.5849
0.3,0.3,100,3000,1,1,18.72,26.008,20.68705
0.3,0.3,100,9000,1,1,18.72,24.052,20.58765
0.3,0.3,100,36000,1,1,18.72,24.848,20.57035
0.3,0.3,250,600,1,1,18.96,24.892,20.89643
0.3,0.3,250,3000,1,1,18.16,27.868,21.26793
0.3,0.3,250,9000,1,1,18.72,25.86,21.19661
0.3,0.3,250,36000,1,1,18.096,26.188,20.80558
0.5,0.07,50,600,1,1,18.488,27.004,20.996
0.5,0.07,50,3000,1,1,18.488,23.0,20.600872
0.5,0.07,50,9000,1,1,18.488,24.136,21.640667
0.5,0.07,50,36000,1,1,18.16,24.0,19.463128
0.5,0.07,100,600,1,1,18.488,23.484,19.351032
0.5,0.07,100,3000,1,1,18.16,25.02,21.272051
0.5,0.07,100,9000,1,1,18.096,25.472,20.05093
0.5,0.07,100,36000,1,1,18.096,25.772,19.92242
0.5,0.07,250,600,1,1,18.096,26.08,22.377041
0.5,0.07,250,3000,1,1,18.096,24.976,19.819163
0.5,0.07,250,9000,1,1,18.096,23.152,22.293214
0.5,0.07,250,36000,1,1,18.096,26.5,22.059316
0.5,0.3,50,600,1,1,18.96,25.372,21.593644
0.5,0.3,50,3000,1,1,18.96,28.252,22.353778
0.5,0.3,50,9000,1,1,18.72,23.98,20.313067
0.5,0.3,50,36000,1,1,18.328,30.988,21.719378
0.5,0.3,100,600,1,1,18.96,27.232,21.922067
0.5,0.3,100,3000,1,1,18.96,29.492,21.740578
0.5,0.3,100,9000,1,1,18.72,26.116,21.934311
0.5,0.3,100,36000,1,1,18.096,27.316,21.201511
0.5,0.3,250,600,1,1,18.72,27.516,21.453556
0.5,0.3,250,3000,1,1,18.72,28.076,22.412587
0.5,0.3,250,9000,1,1,18.096,26.828,22.237929
0.5,0.3,250,36000,1,1,18.096,24.908,22.332444
0.7,0.07,50,600,1,1,18.816,26.052,23.241287
0.7,0.07,50,3000,1,1,18.816,25.62,21.958759
0.7,0.07,50,9000,1,1,18.984,27.848,21.681563
0.7,0.07,50,36000,1,1,19.168,26.116,24.285609
0.7,0.07,100,600,1,1,18.776,24.628,20.909818
0.7,0.07,100,3000,1,1,18.672,26.372,21.465773
0.7,0.07,100,9000,1,1,18.048,29.02,21.48725
0.7,0.07,100,36000,1,1,18.096,28.32,22.487909
0.7,0.07,250,600,1,1,18.488,28.488,23.659075
0.7,0.07,250,3000,1,1,18.048,28.22,24.162068
0.7,0.07,250,9000,1,1,18.096,28.372,23.579229
0.7,0.07,250,36000,1,1,18.096,29.488,23.945433
0.7,0.3,50,600,1,1,18.72,27.428,22.241859
0.7,0.3,50,3000,1,1,18.72,27.392,22.028404
0.7,0.3,50,9000,1,1,18.72,23.208,22.10703
0.7,0.3,50,36000,1,1,18.72,28.34,21.90602
0.7,0.3,100,600,1,1,18.96,25.588,23.823216
0.7,0.3,100,3000,1,1,18.96,29.512,23.053206
0.7,0.3,100,9000,1,1,18.72,30.712,22.150955
0.7,0.3,100,36000,1,1,18.72,26.608,22.616945
0.7,0.3,250,600,1,1,18.4,29.632,25.052513
0.7,0.3,250,3000,1,1,18.4,25.724,24.009186
0.7,0.3,250,9000,1,1,18.4,30.04,25.351559
0.7,0.3,250,36000,1,1,18.4,25.496,23.848465
